key	en	fi	sv
lang.name	English	Suomi	Svenska
lang.en	English		
lang.fi	Suomi		
lang.se	Svenska		
lang.es	Español		
lang.it	Italiano		
lang.fr	Français		
lang.de	Deutsche		
lang.ru	Русский		
lang.ch	中文		
lang.tw	中文		
menu.language	Language	Kieli	Språk
app.name	Altzone Game	Altzone Game	Altzone Spel
			
ButtonBackMini/Text	Back		
FooterPanel/FooterText	Footer		
FooterPanel/FooterText	Footer	ALT_WORD	
HeaderPanel/ButtonBackMini	Back		
HeaderPanel/ButtonBackMini	Back	ALT_WORD	
HeaderPanel/TitleText	choose language		
HeaderPanel/TitleText	choose language	ALT_WORD	
HeaderPanel/TitleText16	player name		
HeaderPanel/TitleText27	altzone lobby		
HeaderPanel/TitleText30	window name		
HeaderPanel/TitleText34	player name		
HeaderPanel/TitleText5	loading		
LanguageSelection/Button	Continue		
LanguageSelection/Button	Continue	NO_KEY	
LanguageSelection/TextLabel	Choose your language:		
LanguageSelection/TextLabel	Choose your language:	NO_KEY	
LanguageSelection/TitleText	choose language		
LanguageSelection/TitleText	choose language	ALT_WORD	
Loader/TextLabel	Wait for application to load		
Loader/TextLabel	Wait for application to load	ALT_WORD	
Loader/TitleText	loading		
Loader/TitleText	loading	NO_KEY	
Loader/TitleText	loading	NO_KEY	
MainMenu/LobbyButton	Lobby		
MainMenu/LobbyButton	Lobby	NO_KEY	
MainMenu/SettingsButton	Settings		
MainMenu/SettingsButton	Settings	NO_KEY	
MainMenu/TestButtonA	Test async		
MainMenu/TestButtonA	Test async	NO_KEY	
MainMenu/TestButtonB	Test block		
MainMenu/TestButtonB	Test block	NO_KEY	
MainMenu/TitleText	main  menu		
MainMenu/TitleText	main  menu		
MainMenu/TitleText	main  menu	ALT_WORD	
PlayerNameFirst/Button	Continue		
PlayerNameFirst/Button	Continue	NO_KEY	
PlayerNameFirst/InputField/Placeholder	playername		
PlayerNameFirst/InputField/Placeholder	playername	ALT_WORD	
PlayerNameFirst/TextLabel	Choose your player name		
PlayerNameFirst/TextLabel	Choose your player name	NO_KEY	
PlayerNameFirst/TitleText	player name		
PlayerNameFirst/TitleText	player name	NO_KEY	
PlayerNameNormal/ButtonBack	Continue		
PlayerNameNormal/ButtonBackMini	Back		
PlayerNameNormal/FooterText	Footer		
PlayerNameNormal/InputField/Placeholder	playername		
PlayerNameNormal/TextLabel	Choose your player name		
PlayerNameNormal/TitleText	player name		
TermsOfService/Button	Continue		
TermsOfService/Button	Continue	NO_KEY	
TermsOfService/TextLabel1	I have read the Terms and Conditions		
TermsOfService/TextLabel1	I have read the Terms and Conditions	NO_KEY	
TermsOfService/TextLabel2	in above Company's web page		
TermsOfService/TextLabel2	in above Company's web page	NO_KEY	
TermsOfService/TitleText	terms of service		
TermsOfService/TitleText	terms of service	ALT_WORD	
TermsOfService/Toggle/Label	Accept		
TermsOfService/Toggle/Label	Accept	NO_KEY	
Toggle/Label	Accept		
Toggle/Label	Accept	ALT_WORD	
UserSettings/CharacterSelectionButton	Character Selection		
UserSettings/PlayerNameButton	Player Name		
UserSettings/TitleText	user settings	MISSING	
